Open.Year,Show.Name,Show.Type,Show.Theatre
2004,Match,Play,Plymouth Theatre
2013,Matilda,Musical,Shubert Theatre
2000,Matters Of The Heart,Special,Vivian Beaumont Theatre
2007,Mauritius,Play,Biltmore Theatre
2002,Medea 02,Play,Brooks Atkinson Theatre
2009,Memphis,Musical,Shubert Theatre
1997,"Men Are From Mars, Women Are From Venus",Special,Gershwin Theatre
2002,Metamorphoses,Play,Circle In The Square Theatre
2012,Mike Tyson: Undisputed Truth,Special,Longacre Theatre
2010,Million Dollar Quartet,Musical,Nederlander Theatre
1999,Minnelli On Minnelli,Special,Palace Theatre
2015,Misery,Play,Broadhurst Theatre
1991,Miss Saigon,Musical,Broadway Theatre
2005,Monty Python'S Spamalot,Musical,Shubert Theatre
1995,Moon Over Buffalo,Play,Martin Beck Theatre
1998,More To Love: A Big Fat Comedy,Play,Eugene O'Neill Theatre
1999,"Morning, Noon And Night",Special,Vivian Beaumont Theatre
2002,Morning'S At Seven,Play,Lyceum Theatre
2014,Mothers And Sons,Play,Golden Theatre
2013,Motown The Musical,Musical,Lunt-Fontanne Theatre
2016,Motown The Musical 2016,Musical,Nederlander Theatre
2002,Movin' Out,Musical,Richard Rodgers Theatre
2010,Mrs. Warren'S Profession,Play,American Airlines Theatre
2003,Never Gonna Dance,Musical,Broadhurst Theatre
2012,Newsies,Musical,Nederlander Theatre
2010,Next Fall,Play,Helen Hayes Theatre
2009,Next To Normal,Musical,Booth Theatre
2012,Nice Work If You Can Get It,Musical,Imperial Theatre
2004,'Night Mother,Play,Royale Theatre
1999,Night Must Fall,Play,Lyceum Theatre
1999,Night Must Fall,Play,Helen Hayes Theatre
2003,Nine,Musical,Eugene O'Neill Theatre
2013,No Man'S Land/Waiting For Godot,Play,Cort Theatre
2001,Noises Off '01,Play,Brooks Atkinson Theatre
2015,Noises Off 2016,Play,American Airlines Theatre
1999,Not About Nightingales,Play,Circle In The Square Theatre
2007,November,Play,Ethel Barrymore Theatre
2014,Of Mice And Men,Play,Longacre Theatre
2002,Oklahoma!,Musical,Gershwin Theatre
2007,Old Acquaintance,Play,American Airlines Theatre
2015,Old Times,Play,American Airlines Theatre
2003,Oldest Living Confederate Widow Tells All,Play,Longacre Theatre
2009,Oleanna,Play,Golden Theatre
2011,On A Clear Day You Can See Forever,Musical,St. James Theatre
2005,On Golden Pond,Play,Cort Theatre
1998,On The Town,Musical,Gershwin Theatre
2014,On The Town 2014,Musical,Lyric Theatre
2015,On The Twentieth Century,Musical,American Airlines Theatre
2015,On Your Feet!,Musical,Marquis Theatre
2012,Once,Musical,Jacobs Theatre
1996,Once Upon A Mattress,Musical,Broadhurst Theatre
2001,One Flew Over The Cuckoo'S Nest,Play,Royale Theatre
2012,"One Man, Two Guvnors",Play,Music Box Theatre
2002,One Mo' Time,Musical,Longacre Theatre
2013,Orphans,Play,Schoenfeld Theatre
2011,Other Desert Cities,Play,Booth Theatre
2016,Our Mother'S Brief Affair,Play,Friedman Theatre
2002,Our Town 02,Play,Booth Theatre
2014,Outside Mullingar,Play,Friedman Theatre
2004,Pacific Overtures,Musical,Studio 54 Theatre
2008,Pal Joey,Musical,Studio 54 Theatre
1998,Parade,Musical,Vivian Beaumont Theatre
2016,Paramour,Musical,Lyric Theatre
2008,Passing Strange,Musical,Belasco Theatre
1998,Patti Labelle On Broadway,Special,St. James Theatre
1995,Patti Lupone On Broadway,Special,Walter Kerr Theatre
2015,Penn & Teller On Broadway,Special,Marquis Theatre
2012,Peter And The Starcatcher,Play,Brooks Atkinson Theatre
1998,Peter Pan 98,Musical,Marquis Theatre
1999,Peter Pan 98,Musical,Gershwin Theatre
2012,Picnic '12,Play,American Airlines Theatre
2013,Pippin,Musical,Music Box Theatre
1997,Play On!,Musical,Brooks Atkinson Theatre
2011,Porgy And Bess '11,Musical,Richard Rodgers Theatre
2007,Prelude To A Kiss 2007,Play,American Airlines Theatre
1996,Present Laughter,Play,Walter Kerr Theatre
2010,Present Laughter '10,Play,American Airlines Theatre
2005,Primo,Play,Music Box Theatre
