Date.Year,Show.Name,Show.New.Name,Show.Theatre,Show.No,Show.Type
1996,Love Thy Neighbor,Love Thy Neighbor,Booth,36,Play
2000,Macbeth 00,Macbeth ,Music Box,30,Play
2008,Macbeth 08,Macbeth ,Lyceum,34,Play
2013,Macbeth '13,Macbeth ,Ethel Barrymore,29,Play
2013,Macbeth '13 (Lct),Macbeth ,Vivian Beaumont,32,Play
2013,Machinal,Machinal,American Airlines,47,Play
2001,Major Barbara,Major Barbara,American Airlines,47,Play
2011,Man And Boy,Man And Boy,American Airlines,47,Play
1997,Mandy Patinkin,Mandy Patinkin,Lyceum,34,Special
1998,Mandy Patinkin In Concert: Mamaloshen,Mandy Patinkin In Concert: Mamaloshen,Belasco,29,Special
2004,Marc Salem'S Mind Games,Marc Salem'S Mind Games,Lyceum,34,Special
1999,Marie Christine,Marie Christine,Vivian Beaumont,32,Musical
2005,Mark Twain Tonight!,Mark Twain Tonight!,Brooks Atkinson,32,Play
1999,Marlene,Marlene,Cort,34,Musical
2000,Matters Of The Heart,Matters Of The Heart,Vivian Beaumont,32,Special
2002,Medea 02,Medea,Brooks Atkinson,32,Play
1999,"Morning, Noon And Night","Morning, Noon And Night",Vivian Beaumont,32,Special
2002,Morning'S At Seven,Morning'S At Seven,Lyceum,34,Play
2010,Mrs. Warren'S Profession,Mrs. Warren'S Profession,American Airlines,47,Play
2009,Next To Normal,Next To Normal,Booth,36,Musical
1999,Night Must Fall,Night Must Fall,Lyceum,34,Play
2013,No Man'S Land/Waiting For Godot,No Man'S Land/Waiting For Godot,Cort,34,Play
2001,Noises Off '01,Noises Off ,Brooks Atkinson,32,Play
2015,Noises Off 2016,Noises Off ,American Airlines,47,Play
2007,November,November,Ethel Barrymore,29,Play
2007,Old Acquaintance,Old Acquaintance,American Airlines,47,Play
